"_id",class,day,hour,minute,tweetden
5a0e3d9134e4b81614f0923d,L,Fri,H10,M30,0
5a0e3d9134e4b81614f0923e,L,Fri,H11,M0,0
5a0e3d9134e4b81614f0923f,M,Fri,H11,M30,0
5a0e3d9134e4b81614f09240,M,Fri,H12,M0,0
5a0e3d9134e4b81614f09241,M,Fri,H12,M30,0
5a0e3d9134e4b81614f09242,L,Fri,H13,M0,0
5a0e3d9134e4b81614f09243,M,Fri,H13,M30,0
5a0e3d9134e4b81614f09244,M,Fri,H14,M0,0
5a0e3d9134e4b81614f09245,M,Fri,H14,M30,0
5a0e3d9134e4b81614f09246,L,Fri,H15,M0,0
5a0e3d9134e4b81614f09247,M,Fri,H15,M30,0
5a0e3d9134e4b81614f09248,L,Fri,H16,M0,0
5a0e3d9134e4b81614f09249,M,Fri,H16,M30,0
5a0e3d9134e4b81614f0924a,M,Fri,H17,M0,0
5a0e3d9134e4b81614f0924b,L,Fri,H17,M30,0
5a0e3d9134e4b81614f0924c,H,Fri,H18,M0,0
5a0e3d9134e4b81614f0924d,M,Fri,H18,M30,0
5a0e3d9134e4b81614f0924e,M,Fri,H19,M0,0
5a0e3d9134e4b81614f0924f,M,Fri,H19,M30,0
5a0e3d9134e4b81614f09250,M,Fri,H20,M0,0
5a0e3d9134e4b81614f09251,M,Fri,H20,M30,0
5a0e3d9134e4b81614f09252,H,Fri,H21,M0,0
5a0e3d9134e4b81614f09253,H,Fri,H21,M30,0
5a0e3d9134e4b81614f09254,M,Fri,H22,M0,0
5a0e3d9134e4b81614f09255,H,Fri,H22,M30,0
5a0e3d9134e4b81614f09256,L,Fri,H23,M0,0
5a0e3d9134e4b81614f09257,L,Fri,H23,M30,0
5a0e3d9134e4b81614f09258,L,Sat,H0,M0,0
5a0e3d9134e4b81614f09259,L,Sat,H0,M30,0
5a0e3d9134e4b81614f0925a,H,Sat,H1,M0,0
5a0e3d9134e4b81614f0925b,H,Sat,H1,M30,0
5a0e3d9134e4b81614f0925c,L,Sat,H2,M0,0
5a0e3d9134e4b81614f0925d,H,Sat,H2,M30,0
5a0e3d9134e4b81614f0925e,M,Sat,H3,M0,0
5a0e3d9134e4b81614f0925f,M,Sat,H3,M30,0
5a0e3d9134e4b81614f09260,L,Sat,H4,M0,0
5a0e3d9134e4b81614f09261,M,Sat,H4,M30,0
5a0e3d9134e4b81614f09262,H,Sat,H5,M0,0
